Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
STPG2		3	3	515	0.6%	No
INSL3		1	1	515	0.2%	No
KRT6C		4	4	515	0.8%	No
ASPM		32	32	515	6.2%	No
FOXD2		1	1	515	0.2%	No
INSIG1		2	2	515	0.4%	No
OGN		1	1	515	0.2%	No
FOXM1		3	3	515	0.6%	No
FOXC2		4	4	515	0.8%	No
FOXJ1		1	1	515	0.2%	No
FOXE3		1	1	515	0.2%	No
LAMA1		28	26	515	5.0%	No
FOXL1		2	2	515	0.4%	No
INPP4A		9	9	515	1.7%	Yes
INPP5A		4	4	515	0.8%	No
INPP5B		6	6	515	1.2%	No
FOXO3		2	2	515	0.4%	Yes
INPP5D		8	7	515	1.4%	Yes
FOXO1		4	4	515	0.8%	Yes
INPPL1		9	9	515	1.7%	Yes
OGDH		12	11	515	2.1%	No
FOXS1		2	2	515	0.4%	No
OGG1		2	2	515	0.4%	No
PDX1		3	3	515	0.6%	No
TNFRSF11B		1	1	515	0.2%	No
FLNB		10	10	515	1.9%	No
A1BG		8	7	515	1.4%	No
FLNA		25	22	515	4.3%	No
A2M		8	8	515	1.6%	No
FLII		5	5	515	1.0%	No
FLI1		5	4	515	0.8%	Yes
METRNL		2	2	515	0.4%	No
FLG		84	67	515	13.0%	No
INSL4		1	1	515	0.2%	No
NAT1		2	2	515	0.4%	No
INSM1		3	3	515	0.6%	No
OLR1		1	1	515	0.2%	No
INSR		2	2	515	0.4%	Yes
OMG		1	1	515	0.2%	No
OMP		1	1	515	0.2%	No
INSRR		5	5	515	1.0%	No
OPA1		9	9	515	1.7%	No
EIF3E		2	2	515	0.4%	Yes
FLOT2		2	2	515	0.4%	No
OPCML		7	7	515	1.4%	No
FLNC		20	17	515	3.3%	No
SIX6		4	4	515	0.8%	No
IRF2		7	7	515	1.4%	Yes
OR1D2		4	4	515	0.8%	No
IRF3		2	2	515	0.4%	No
OR1F1		2	2	515	0.4%	No
IRF4		6	6	515	1.2%	Yes
OR2C1		1	1	515	0.2%	No
CDH2		6	6	515	1.2%	No
FMOD		8	6	515	1.2%	No
FMO5		2	2	515	0.4%	No
FMO3		6	6	515	1.2%	No
FMO2		5	5	515	1.0%	No
FMO1		7	7	515	1.4%	No
FLT4		13	12	515	2.3%	Yes
FLT3LG		1	1	515	0.2%	No
FLT3		5	5	515	1.0%	Yes
FLT1		17	16	515	3.1%	Yes
IPP		4	4	515	0.8%	No
OPHN1		5	5	515	1.0%	No
IRAK1		3	3	515	0.6%	No
OPRD1		2	2	515	0.4%	No
ITGA6		2	2	515	0.4%	No
OPRK1		6	6	515	1.2%	No
IRAK2		2	2	515	0.4%	No
OPRL1		5	5	515	1.0%	No
OPRM1		7	7	515	1.4%	No
IREB2		8	8	515	1.6%	No
FMO4		6	6	515	1.2%	No
IRF1		8	5	515	1.0%	Yes
ISL1		4	4	515	0.8%	No
ISLR		3	3	515	0.6%	No
ITGA1		3	3	515	0.6%	No
ITGA2		7	6	515	1.2%	No
FNTB		3	3	515	0.6%	No
CDH12		13	13	515	2.5%	No
CDH10		37	32	515	6.2%	No
FNTA		2	1	515	0.2%	No
CDH9		28	27	515	5.2%	No
CDH8		13	13	515	2.5%	No
CDH7		19	18	515	3.5%	No
CDH6		12	11	515	2.1%	No
FN1		21	18	515	3.5%	No
CDH5		9	9	515	1.7%	No
AFF2		15	14	515	2.7%	No
CDH4		8	7	515	1.4%	No
